epoch,AP_drone,loss,lr,mAP,validation_loss
1,nan,17.97978664636612,0.0001490976,nan,nan
2,0.6834520849803117,12.091507644115197,0.00022230095,0.6834520849803117,68.965223853713
3,nan,10.713637155294418,0.00033144536,nan,nan
4,0.8666156948475834,9.971361457740999,0.0004941771,0.8666156948475834,43.49957977784062
5,nan,9.476625603437423,0.00073680625,nan,nan
6,0.9009653799759204,9.20532769618737,0.0010985604,0.9009653799759204,34.330528551568456
7,nan,8.924026226997375,0.0016379273,nan,nan
8,0.906218092416188,8.744238234612634,0.0024421103,0.906218092416188,33.162367327871316
9,nan,8.541809260845184,0.0036411278,nan,nan
10,0.9084576150869027,8.388922432747007,0.0054288344,0.9084576150869027,29.158652920756516
11,nan,8.214696282148362,0.008094261,nan,nan
12,0.9083825443326545,8.101206150921907,0.01206835,0.9083825443326545,29.595873921433867
13,nan,7.941166369616985,0.017993622,nan,nan
14,0.9364144157653969,7.736476880255912,0.026828056,0.9364144157653969,34.83599265950839
15,nan,7.437090715765953,0.039999988,nan,nan
16,0.9617891031527397,7.002766549400402,0.04,0.9617891031527397,29.15087662757235
17,nan,6.4146935239434235,0.04,nan,nan
18,0.9099060271629587,5.8459463874374435,0.04,0.9099060271629587,26.566951766621795
19,nan,5.510137841105461,0.04,nan,nan
20,0.9897877617859219,5.178738872085619,0.04,0.9897877617859219,24.563872233697268
21,nan,4.863754076510668,0.04,nan,nan
22,0.9114432271081204,4.551291072630209,0.04,0.9114432271081204,22.650478005129624
23,nan,4.436217986047268,0.04,nan,nan
24,0.9846417390277041,4.257838316098276,0.04,0.9846417390277041,23.80872733002067
25,nan,4.027709413319826,0.04,nan,nan
26,0.9914953933380584,3.966170084513841,0.04,0.9914953933380584,21.175292422941087
27,nan,3.8030816741287707,0.04,nan,nan
28,0.9090909090909093,3.6963632203942183,0.04,0.9090909090909093,20.85041809827672
29,nan,3.6400014407932755,0.04,nan,nan
30,0.9959031251788303,3.4938502524713737,0.04,0.9959031251788303,21.87327992198428
31,nan,3.5374686866998672,0.04,nan,nan
32,0.9502754973223,3.679357023822103,0.04,0.9502754973223,23.68837079487339
33,nan,3.5237854197621346,0.04,nan,nan
34,0.9765736295045642,3.39305273156181,0.04,0.9765736295045642,21.691755333573116
35,nan,3.314138676226139,0.04,nan,nan
36,0.9949010399194903,3.231220648953907,0.04,0.9949010399194903,22.295109703356257
37,nan,3.1772428661584855,0.04,nan,nan
38,0.9090909090909093,3.0959358476919814,0.04,0.9090909090909093,21.312535383628624
39,nan,3.070018344372511,0.04,nan,nan
40,0.9678297691004338,3.1646616765324227,0.04,0.9678297691004338,21.228260586092116
41,nan,3.210485266149044,0.04,nan,nan
42,0.9989461851903894,3.0972181140068558,0.04,0.9989461851903894,20.11694045734182
43,nan,3.021561823040247,0.04,nan,nan
44,0.9918102665157298,2.976288545841707,0.04,0.9918102665157298,21.19522003161898
45,nan,2.9483673729002478,0.04,nan,nan
